"","Date","Daily","Humidity","Temperature","pm25","pm10","no2","o3","retail","grocery","parks","transit","work","home","date","mean","median","lower_80","upper_80","infections","test_adjusted_positive","test_adjusted_positive_raw","positive","tests"
"45",2020-04-08,102,32,14.8,46,17,12.4,33.8,-81,-31,-74,-75,-64,33,2020-04-08,0.788253847196058,0.78670202303892,0.724612438241349,0.850876948659265,56.8453216970468,93.6501838234463,79.1443678296474,102,792
"46",2020-04-09,98,38.5,12.8,38,16,11.5,35.4,-81,-28,-74,-75,-64,33,2020-04-09,0.784588997363961,0.782896606371093,0.713508303942171,0.843469766690622,54.3850051684649,90.5968153734662,81.2742353135126,98,741
"47",2020-04-10,98,40,16.1,55,17,8.3,40.3,-80,-20,-77,-76,-65,35,2020-04-10,0.778949635366181,0.775601503322334,0.716631078560398,0.85024502953949,52.0064468058572,87.5252984150632,66.472636167012,98,906
"48",2020-04-11,121,39.8,17.5,59,15,5.5,43.1,-87,-38,-84,-79,-63,27,2020-04-11,0.774101150554655,0.773901429909378,0.695355767366615,0.822740261116951,49.6959560182115,84.4639126995273,53.0374189382868,121,1402
"49",2020-04-12,122,26,18.7,34,9,5.5,37.8,-96,-95,-89,-89,-66,24,2020-04-12,0.768433617757576,0.768845398387249,0.700787776892475,0.819228132846231,47.4377256929911,81.4252506225591,57.5387521795243,122,1303
"50",2020-04-13,95,34.5,17.5,53,12,7.4,42.3,-96,-96,-84,-90,-91,43,2020-04-13,0.762728757392299,0.762837911821466,0.705967424866419,0.826201689425296,45.2283044835234,78.4319638328552,89.6783566082749,95,651
"51",2020-04-14,28,55.6,14.5,50,16,6.4,41.1,-80,-33,-74,-74,-61,31,2020-04-14,0.7576302886079,0.757568502296544,0.690455853814258,0.811808769108788,43.0695618439956,75.4927251514473,56.397629224435,28,256
"52",2020-04-15,60,57.5,10,38,13,13.3,28.9,-80,-31,-73,-73,-60,31,2020-04-15,0.75211229435478,0.748882956686659,0.695100706262022,0.818705733594841,40.9614001503885,72.6207175167998,40.0347060874246,60,921
"53",2020-04-16,110,60,12.5,38,14,10.1,28.9,-78,-33,-73,-74,-59,32,2020-04-16,0.747079534636296,0.745999700503488,0.672451932952997,0.801042993423059,38.9068042124913,69.8087396523817,47.1398892807646,110,1434
"54",2020-04-17,129,40.5,15.5,38,17,10.6,33.8,-78,-29,-75,-75,-59,33,2020-04-17,0.740540791374871,0.739225198413348,0.672004426326951,0.790844351827109,36.9087708361794,67.0694081983316,45.2998418622936,129,1750
"55",2020-04-18,60,61,17.5,38,17,8.3,35,-85,-43,-83,-78,-58,27,2020-04-18,0.734186822072362,0.733646839964777,0.666281117388806,0.78425133042568,34.9696318144841,64.4019633916707,48.9667520670891,60,753
"56",2020-04-19,61,67.2,17.4,21,14,5.1,33.8,-94,-84,-87,-86,-57,23,2020-04-19,0.727824268534328,0.727786105391772,0.668292235386479,0.782796661061996,33.0868660989946,61.7977625994191,0,0,0
"57",2020-04-20,82,93,14,13,11,8.7,19.1,-78,-46,-79,-77,-57,29,2020-04-20,0.72278724751627,0.723688254161868,0.665722388386921,0.780232223591067,31.2577976666612,59.2634958456396,89.0312447919459,82,566
"58",2020-04-21,43,93,11.5,21,12,11.9,17.5,-78,-41,-76,-74,-58,31,2020-04-21,0.717943190528939,0.717288243737942,0.656728097007795,0.771365650524113,29.4845292453919,56.7904398945843,55.8666125856335,43,473
"59",2020-04-22,52,64,12.7,42,17,11,33.3,-77,-39,-72,-73,-56,30,2020-04-22,0.714990421119667,0.714101204160766,0.658599591329834,0.769369164967666,27.7730582237879,54.3764147527703,60.7522859296242,52,526
"60",2020-04-23,54,56.5,13.5,61,20,12.4,37,-77,-37,-70,-72,-57,30,2020-04-23,0.711052502535277,0.707676821469595,0.651673597622851,0.761658948123874,26.1292336565471,52.0184236151532,61.4532738441968,54,540
