"","Date","Daily","Humidity","Temperature","pm25","pm10","no2","retail","grocery","parks","transit","work","home","date","mean","median","lower_80","upper_80","infections","test_adjusted_positive","test_adjusted_positive_raw","positive","tests"
"44",2020-04-07,36,56.6,16.5,61,21,14.2,-81,-40,-76,-74,-66,32,2020-04-07,0.750648786586078,0.752331209762567,0.697681101282706,0.809830973843758,41.2953908304834,67.405527526966,37.3787124488914,36,796
"45",2020-04-08,66,33.9,16.7,53,17,12.4,-81,-39,-78,-74,-65,32,2020-04-08,0.743031746129827,0.743395020924697,0.681226635949047,0.798963704683138,39.2354545628045,65.3624307169621,39.2714190307768,66,1389
"46",2020-04-09,90,44.6,13.2,55,17,17.9,-80,-33,-78,-73,-66,33,2020-04-09,0.733788641352656,0.732799489603734,0.683870782721982,0.799752567412439,37.2162177843965,63.2728989488681,31.9380153599373,90,2329
"47",2020-04-10,108,48.8,14.5,NA,19,NA,-80,-29,-76,-73,-66,34,2020-04-10,0.725137557795517,0.724252568347633,0.662196461991931,0.782807413404887,35.2346256134624,61.1515376360883,22.1160469098,108,4036
"48",2020-04-11,85,57.6,13.3,NA,17,NA,-85,-44,-82,-75,-62,27,2020-04-11,0.717207948204685,0.716353542942566,0.663608175550811,0.785995200080716,33.2896898466188,59.0153222306913,50.8330053925871,85,1382
"49",2020-04-12,105,64,14.6,50,14,9.2,-96,-95,-92,-87,-66,26,2020-04-12,0.708266349128114,0.705637294364948,0.649608192874153,0.769318780366351,31.3839028393165,56.866691160311,79.3969906088835,105,1093
"50",2020-04-13,10,65.9,13,53,15,10.1,-96,-95,-88,-89,-91,41,2020-04-13,0.701429816487029,0.697507112687882,0.632536289231759,0.751214066988984,29.5262284791086,54.7208499769023,20.4778212127778,10,145
"51",2020-04-14,42,81.8,12.8,42,12,6.4,-79,-39,-76,-73,-64,31,2020-04-14,0.694477980625247,0.691970256873579,0.62813005009509,0.753262004508475,27.7217478267682,52.584446645342,82.0623269366522,42,423
"52",2020-04-15,61,48.7,12.7,25,9,3.7,-79,-39,-77,-72,-63,32,2020-04-15,0.686895430732328,0.684288244274461,0.630869976595158,0.752711190657492,25.9775631120725,50.4587756900948,28.1651266553131,61,1790
"53",2020-04-16,71,63.7,9.4,38,12,14.2,-78,-39,-76,-72,-63,32,2020-04-16,0.680750986471001,0.678051623050033,0.621953884792898,0.742137902166732,24.3011305816911,48.3546639913517,43.1791209378127,71,1359
"54",2020-04-17,51,73.6,14.5,42,17,12.4,-78,-37,-75,-72,-62,33,2020-04-17,0.675057904299515,0.670371625974622,0.61140153557115,0.729257846189842,22.6929322028871,46.2714713651559,30.1291837537765,51,1399
"55",2020-04-18,69,92.7,15.5,50,20,7.4,-84,-50,-81,-74,-57,26,2020-04-18,0.670107142560286,0.667176298341347,0.599022441525808,0.714343032283354,21.1551784327204,44.2120167885848,28.5851907900712,69,1995
"56",2020-04-19,46,93.9,16.8,55,22,4.6,-93,-81,-90,-83,-56,24,2020-04-19,0.665740889019125,0.662507116293439,0.60520530781126,0.714976943904799,19.6919467789162,42.1781859921046,0,0,0
"57",2020-04-20,44,98.7,16.2,30,10,5.1,-78,-45,-82,-76,-61,30,2020-04-20,0.663865869840733,0.661769695398079,0.612510325217423,0.722008445574327,18.305583614832,40.1784857151556,84.1790139409705,44,432
"58",2020-04-21,51,88.9,13.5,34,10,2.3,-79,-42,-79,-74,-61,31,2020-04-21,0.661877282797007,0.659224467651722,0.60100096542743,0.711748363984331,16.9972289322833,38.2039602598243,44.7935473661352,51,941
"59",2020-04-22,56,65.9,15.4,46,14,4.2,-78,-41,-79,-73,-60,31,2020-04-22,0.660179460906704,0.658286985476216,0.592854540461649,0.708177746684368,15.7695486517841,36.2722356789293,19.8896228587331,56,2327
"60",2020-04-23,35,56.9,16.5,55,18,6,-77,-37,-73,-70,-59,31,2020-04-23,0.659972577666645,0.658086418630156,0.597924021164719,0.71492177919618,14.6227136880487,34.3813165392404,24.6817152262542,35,1172
"61",2020-04-24,54,71.6,13.6,59,19,16,-74,-27,-71,-69,-59,30,2020-04-24,0.660220127142168,0.660098886719708,0.604374579657557,0.719838184253214,13.5536793073038,32.5348155937997,45.727646172107,54,976
"62",2020-04-25,75,71.8,15.6,46,12,5.5,-94,-94,-83,-81,-74,30,2020-04-25,0.661044113713985,0.659658408716964,0.605284821706563,0.720145682910878,12.5599704470124,30.7372966981043,44.3393167461218,75,1398
