"","Date","NPI","Daily","Humidity","Temperature","pm25","pm10","no2","o3","npi","date","mean","median","lower_80","upper_80","infections","test_adjusted_positive","test_adjusted_positive_raw","positive","tests"
"79",2020-05-11,64.09999847,16,62.3,19.5,34,14,6,28.1,60,2020-05-11,0.816538128447943,0.813857328085548,0.745971563950954,0.869628923093696,15.4285161727451,29.921840766044,21.455626204522,21,2299
"80",2020-05-12,64.09999847,25,60,20.5,25,19,4.2,25.2,60,2020-05-12,0.827879343329665,0.825864257553683,0.759929911685593,0.889456913305147,14.8054623642132,28.487738426682,16.3471437748739,16,2211
"81",2020-05-13,64.09999847,17,63.2,21.4,57,28,7.8,24.8,60,2020-05-13,0.838500846985241,0.837441804885506,0.774957166841488,0.908574786898098,14.2350684762367,27.1237975271066,25.5424121482404,25,2031
"82",2020-05-14,64.09999847,63,58,23.1,63,47,11.5,23.2,60,2020-05-14,0.850438992860781,0.848854649243343,0.780139500405919,0.917145733111483,13.7176260038393,25.8292959685716,17.3688402608035,17,1574
"83",2020-05-15,64.09999847,26,53,21.5,34,21,4.6,28.1,60,2020-05-15,0.861778330336368,0.86263911397712,0.788152691105139,0.926195627635864,13.2513257159473,24.6031043346614,64.3668786135659,63,3440
"84",2020-05-16,66.66999817,39,53.5,22.5,55,24,6.9,22,70,2020-05-16,0.87194336501508,0.869544008753665,0.798831212335724,0.936262298340474,12.832953181742,23.4439881171631,26.5641086341701,26,2864
"85",2020-05-17,66.66999817,30,54.5,24.8,59,39,3.2,30.1,70,2020-05-17,0.882648714843911,0.881835865306566,0.807554051849932,0.947978429977916,12.4588912355415,22.3506744584574,39.8461629512551,39,2632
"86",2020-05-18,64.73999786,8,59.7,24.4,57,34,10.6,17.5,60,2020-05-18,0.895316055852609,0.895408153963847,0.823845992568122,0.975207209372243,12.1237872146321,21.3218099689787,30.6508945778885,30,2369
"87",2020-05-19,64.73999786,20,65.2,22,34,20,4.2,29.7,60,2020-05-19,0.905494551585792,0.905359833860012,0.823830206770775,0.973879111542459,11.8241588876171,20.3559411341716,8.17357188743694,8,1398
"88",2020-05-20,64.73999786,15,74.2,19.5,30,13,6,22,60,2020-05-20,0.917416880313468,0.917450059403405,0.843403701902439,0.995439492142374,11.5603489562536,19.4516765819273,20.4339297185924,20,1821
"89",2020-05-21,64.73999786,25,41.3,22,34,15,5.5,31.3,60,2020-05-21,0.926984720496403,0.925298386554609,0.852643103065588,1.00762386122878,11.3298369821031,18.6076799503553,15.3254472889443,15,2308
"90",2020-05-22,64.73999786,15,45.6,21.2,42,16,8.3,30.1,60,2020-05-22,0.937061961636036,0.936280546239474,0.856244209423348,1.01708627371911,11.1299567346386,17.8225006005263,25.5424121482404,25,3643
"91",2020-05-23,64.73999786,16,52.4,23.1,38,16,7.8,27.3,60,2020-05-23,0.945535631355975,0.945044107312553,0.857146372070738,1.02377483683766,10.9576856696001,17.0944454716634,15.3254472889443,15,2516
"92",2020-05-24,64.73999786,11,58,21.7,34,17,5.1,25.6,60,2020-05-24,0.953763948886958,0.952507890148727,0.855870994914788,1.02297508755271,10.8100501605334,16.4214946099305,16.3471437748739,16,2167
"93",2020-05-25,64.73999786,15,53.7,22.8,38,15,6.4,27.7,60,2020-05-25,0.960818305141278,0.957272548492178,0.868153347709503,1.03053164797974,10.6845055613402,15.8013393960303,11.2386613452258,11,1415
"94",2020-05-26,64.73999786,9,39.5,22.2,25,13,9.2,27.7,60,2020-05-26,0.964677516534475,0.960069653509046,0.887163887724517,1.05081086221935,10.5785113747972,15.2316705884601,15.3254472889443,15,2116
"95",2020-05-27,64.73999786,14,39.1,20.2,21,10,5.5,30.1,60,2020-05-27,0.968806805148139,0.965212068608866,0.886510145436971,1.05134432221679,10.4894007879739,14.7101640718158,9.19526837336656,9,1972
"96",2020-05-28,64.73999786,13,52.4,20.6,34,12,7.8,29.3,60,2020-05-28,0.970874271573734,0.967286886910782,0.887954091483552,1.0457832484616,10.4124088211328,14.2344707890426,14.3037508030147,14,2137
"97",2020-05-29,64.73999786,5,70.8,16.2,30,12,12.8,18.7,60,2020-05-29,0.973581871665704,0.970004097274061,0.897262987192313,1.04944602540208,10.3441241148945,13.8021880340084,13.282054317085,13,2336
"98",2020-05-30,64.73999786,11,73.1,17,25,10,8.7,21.6,60,2020-05-30,0.973605288217322,0.970598279487948,0.901465027933886,1.05378555625372,10.2822135612713,13.4108286583276,5.10848242964809,5,2625
"99",2020-05-31,64.73999786,6,62,19.2,30,10,6,22.4,60,2020-05-31,0.977597972950569,0.978131266778203,0.897937412022493,1.05548052900804,10.2251861737639,13.0578638875422,11.2386613452258,11,1695
"100",2020-06-01,64.73999786,5,60.1,21,34,13,8.3,26,60,2020-06-01,0.982263897309444,0.980916086887132,0.903902440784046,1.05892990435699,10.1709306608886,12.7407601695284,6.13017891557771,6,1108
"101",2020-06-02,60.90000153,10,60,21.3,30,12,5.1,27.3,60,2020-06-02,0.985871676292425,0.984276133356495,0.898771200416854,1.04808491140145,10.1210962522967,12.4569334349082,5.10848242964809,5,1811
"102",2020-06-03,55.13000107,11,65.8,21.5,25,11,6.9,25.2,60,2020-06-03,0.987925055111315,0.983354872130256,0.911822831275207,1.06530397483483,10.0799926717139,12.2036369095203,10.2169648592962,10,1777
"103",2020-06-04,55.13000107,9,62,22,34,13,5.1,32.5,60,2020-06-04,0.993717666284401,0.994753708528687,0.896703616925124,1.05068174610723,10.0478535445279,11.9779973787936,11.2386613452258,11,2382
"104",2020-06-05,55.13000107,18,70,20.9,25,15,6.9,27.3,60,2020-06-05,0.999503286366023,0.999958232877303,0.915756687040638,1.06742026538735,10.0217487215344,11.7770874503333,9.19526837336656,9,2692
"105",2020-06-06,55.13000107,17,65,21.4,25,16,6.4,21.2,60,2020-06-06,1.00473098338367,1.00399663621468,0.933192396216076,1.08698030349229,10.0032603583135,11.5980480464493,18.3905367467331,18,1684
