"","Date","NPI","Daily","Humidity","Temperature","pm25","npi","date","mean","median","lower_80","upper_80","infections","test_adjusted_positive","test_adjusted_positive_raw","positive","tests"
"88",2020-05-20,64.73999786,57,57.7,22,34,60,2020-05-20,0.864647953218941,0.860482787943436,0.793663767783186,0.938064970245797,20.9091731364677,35.499082596092,46.725662847966,116,2854
"89",2020-05-21,64.73999786,55,55.4,22,63,60,2020-05-21,0.867184304444942,0.866043633344595,0.798963609039196,0.946617610655491,20.3128354069009,33.9268447746341,43.2813133784757,57,1514
"90",2020-05-22,64.73999786,33,62.2,22.7,76,60,2020-05-22,0.871053392156618,0.867486330054178,0.798708189392272,0.9418336361063,19.7467918040061,32.463631631869,32.3420376454944,55,1955
"91",2020-05-23,64.73999786,17,67,21.9,57,60,2020-05-23,0.874327861765308,0.873405445659514,0.809797595968873,0.953069413784135,19.2105415352873,31.1021047643997,23.0481228178402,33,1646
"92",2020-05-24,64.73999786,14,44,20,30,60,2020-05-24,0.876261872230074,0.875733801922645,0.807917385656618,0.948959063925933,18.7020739295622,29.8353551237783,17.9626942036766,17,1088
"93",2020-05-25,64.73999786,47,47.9,20.3,38,60,2020-05-25,0.877537837167592,0.876975466982242,0.801990588275102,0.94601437342242,18.2202175083918,28.6566515670079,22.8616108046793,14,704
"94",2020-05-26,64.73999786,38,49.8,20.3,42,60,2020-05-26,0.877981187734882,0.874794354110261,0.814106355759612,0.955437650769895,17.7604970172781,27.55907223661,34.9946788631212,47,1544
"95",2020-05-27,64.73999786,29,45.7,19.3,38,60,2020-05-27,0.878660750699988,0.878435198560391,0.808279052283706,0.94462983905552,17.3182354284815,26.5355230885385,29.5970679561934,38,1476
"96",2020-05-28,64.73999786,32,55,20,53,60,2020-05-28,0.878384598308984,0.878324942303892,0.80801908788161,0.941686429984273,16.8899304806917,25.5793769927645,26.7137503541857,29,1248
"97",2020-05-29,64.73999786,28,56.8,16.8,34,60,2020-05-29,0.876790984398689,0.875945257536561,0.806134148711137,0.944964970307569,16.4736935860701,24.6846903972796,21.8843531999581,32,1681
"98",2020-05-30,64.73999786,20,55,18,42,60,2020-05-30,0.875294682997331,0.874473320688662,0.801398915248114,0.942340428765082,16.0678481507047,23.8461727683516,32.7791731293161,28,982
"99",2020-05-31,64.73999786,12,58,17.4,57,60,2020-05-31,0.874259625566045,0.873375569561795,0.799075967764039,0.938949188911305,15.6686951013947,23.0591402378702,23.7768858125192,20,967
"100",2020-06-01,64.73999786,25,56,20,55,60,2020-06-01,0.874192320891594,0.872963616036069,0.804819129019935,0.944757184678351,15.2743352802812,22.3192300504329,18.6928850249643,12,738
"101",2020-06-02,60.90000153,9,53.3,21.4,53,60,2020-06-02,0.870190948571172,0.868972091344772,0.806014322664754,0.947270081484747,14.8860293917138,21.6222376102116,30.2211469252182,25,951
"102",2020-06-03,55.13000107,9,60.2,18,42,60,2020-06-03,0.865914293610254,0.863844892551525,0.788232667574245,0.929274766276323,14.5060049347771,20.9641324137763,26.0617427237222,9,397
"103",2020-06-04,55.13000107,12,87,16.1,25,60,2020-06-04,0.862366748724792,0.86189241080084,0.800264983838141,0.94296325636543,14.1296264665897,20.3410850224324,10.8681847282749,9,952
"104",2020-06-05,55.13000107,22,60,20.2,25,60,2020-06-05,0.856970001901141,0.853642606374666,0.781233004674033,0.927029661202896,13.7507671723495,19.7495051158806,22.6897189941178,12,608
"105",2020-06-06,55.13000107,4,61.5,20.1,25,60,2020-06-06,0.85184413589527,0.849381303163595,0.775876003624494,0.91954330749788,13.3698324806151,19.1859651856205,18.1171013171752,22,1396
"106",2020-06-07,55.13000107,7,82.7,17.3,21,60,2020-06-07,0.846690461340463,0.843778391244033,0.768626712446009,0.916942407276211,12.9867293108876,18.647164478513,5.97977856455293,4,769
"107",2020-06-08,55.13000107,7,82.5,15.5,17,60,2020-06-08,0.840674758342563,0.837466170975489,0.771229872115668,0.91736412159728,12.6006373370424,18.1301437692744,24.0648534786098,7,317
"108",2020-06-09,55.13000107,8,84.7,14.5,17,60,2020-06-09,0.836661968616267,0.833719541910602,0.757812821098666,0.901311789404637,12.2122032518713,17.6325004134652,10.5330981717894,7,764
"109",2020-06-10,55.13000107,29,69.5,17.7,25,60,2020-06-10,0.830880378658248,0.828433496183566,0.758515990649467,0.901263813160544,11.8214091644919,17.1520326898867,11.5829967660988,8,794
"110",2020-06-11,58.97000122,16,88.7,15.5,25,60,2020-06-11,0.828672349534311,0.827468163868757,0.74904119324009,0.893229557032262,11.4304418689965,16.6863608530899,21.7332206271341,29,1534
"111",2020-06-12,58.97000122,10,85.5,15.9,30,60,2020-06-12,0.826622766560916,0.823999919086573,0.746994948487116,0.895532571109077,11.0406414477048,16.2331450206801,19.8851879616917,16,925
"112",2020-06-13,58.97000122,14,86,16.2,25,60,2020-06-13,0.824600119030871,0.822366621353125,0.745944994907587,0.891232946266548,10.6550504601139,15.7902514129402,21.9811171899675,10,523
"113",2020-06-14,58.97000122,1,59,21.7,25,60,2020-06-14,0.821740231250213,0.818830157682161,0.74748013273834,0.882736145722664,10.2776827634227,15.3557303854891,21.8083658624583,14,738
"114",2020-06-15,62.81999969,11,58.5,22,25,60,2020-06-15,0.818755934601578,0.815578686670341,0.74276090305827,0.878452288127117,9.90963940176401,14.9278853165312,3.43783621122997,1,210
