"","Date","Daily","Humidity","Temperature","pm25","pm10","no2","o3","retail","grocery","parks","transit","work","home","date","mean","median","lower_80","upper_80","infections","test_adjusted_positive","test_adjusted_positive_raw","positive","tests"
"69",2020-05-02,22,57.2,21.3,21,9,5.1,34.2,-79,-32,-76,-73,-53,25,2020-05-02,0.719060505205605,0.717494157115762,0.657505788023663,0.775226857705768,8.13268866809322,17.5988134594532,30.2442622831331,22,253
"70",2020-05-03,5,54,20,30,10,3.7,35.8,-90,-66,-80,-81,-46,22,2020-05-03,0.721019519504088,0.718581471263459,0.661817132017857,0.777683051389188,7.64470920222006,16.7074304751806,9.18671463962045,5,92
"71",2020-05-04,23,53.5,17.5,30,12,9.6,42.7,-57,-25,-13,-53,-40,18,2020-05-04,0.720413646112795,0.717593569135828,0.65313394253287,0.771919723059584,7.18877213095561,15.8467749229633,24.2412344663294,23,330
"72",2020-05-05,3,56,18.3,25,12,10.6,32.9,-60,-26,-19,-54,-42,20,2020-05-05,0.723103849824142,0.720625975612335,0.663126806183005,0.781458200485978,6.76331790752928,15.0172256924544,5.51202878377227,3,89
"73",2020-05-06,14,74,15.9,34,17,9.2,33.3,-61,-26,-31,-56,-42,21,2020-05-06,0.725805927600117,0.722630055800253,0.6574721273615,0.780006294080956,6.3644090218628,14.2190460482798,14.1139890654621,14,345
"74",2020-05-07,16,33.7,25.1,38,16,11,45.5,-59,-27,-13,-54,-41,20,2020-05-07,0.728647653910707,0.726754141638993,0.662299046483463,0.783083179512744,5.99044340055363,13.4525804594819,14.4544006755753,16,385
"75",2020-05-08,6,45.5,23.7,42,16,12.8,50.6,-60,-20,-24,-57,-41,21,2020-05-08,0.733039942888861,0.731074966164506,0.674337316829743,0.799093555400022,5.64164040156644,12.718172531619,11.0240575675445,6,137
"76",2020-05-09,19,43.7,20.5,25,12,10.1,49.6,-63,-25,-25,-53,-41,16,2020-05-09,0.735903812583708,0.735829627351156,0.665143339540202,0.792631412323638,5.31692875767203,12.0160790264028,16.0008990529409,19,413
"77",2020-05-10,13,56.7,20.4,42,16,5.5,43.9,-73,-53,-22,-58,-28,13,2020-05-10,0.738697026006162,0.738060777155139,0.682293281932745,0.810269762397522,5.01533364766857,11.3464613061812,10.1607128344458,13,445
"78",2020-05-11,17,64,18.3,17,9,6,35.4,-56,-28,-34,-57,-37,18,2020-05-11,0.743397790399887,0.743340832532748,0.669359294641486,0.797597546865209,4.73494015320426,10.7093648515034,15.7673420702734,17,375
"79",2020-05-12,2,71.5,17.2,21,10,8.3,30.9,-55,-23,-13,-53,-38,19,2020-05-12,0.746786775763041,0.746006978775936,0.672296902144328,0.800339162535666,4.47339224408164,10.1044417141548,3.67468585584818,2,77
"80",2020-05-13,0,75,15,34,18,8.7,22,-57,-24,-23,-54,-38,19,2020-05-13,0.751274454002639,0.751836106654832,0.675496351071099,0.806090705329045,4.22988344478114,9.53107547763855,0,0,0
"81",2020-05-14,29,69.5,19.3,57,30,11.5,32.5,-56,-24,-21,-54,-38,18,2020-05-14,0.758330847082473,0.75919898895242,0.6883528067128,0.817717522071831,4.0034442595582,8.98853874026005,9.25363437745401,29,1090
